Fecha,Producto,Región,Ventas
2024-11-13,A,Norte,497
2024-02-21,B,Oeste,233
2024-09-24,D,Oeste,474
2024-10-21,C,Norte,424
2024-04-22,C,Este,405
2024-04-10,B,Este,90
2024-04-22,D,Sur,309
2024-03-21,A,Centro,490
2024-07-05,A,Sur,463
2024-04-22,C,Este,393
2024-01-02,B,Norte,133
2024-05-09,B,Sur,95
2024-08-07,A,Oeste,489
2024-02-23,D,Oeste,208
2024-12-08,D,Norte,393
2024-08-11,A,Este,56
2024-08-12,A,Oeste,382
2024-05-05,B,Oeste,487
2024-05-09,D,Centro,185
2024-02-22,A,Sur,232
2024-06-20,A,Este,246
2024-08-05,C,Sur,221
2024-06-08,A,Este,446
2024-07-16,A,Oeste,398
2024-09-03,D,Centro,325
2024-11-19,B,Sur,127
2024-07-21,D,Oeste,465
2024-07-02,B,Este,493
2024-05-02,C,Sur,227
2024-09-11,A,Sur,76
2024-10-20,C,Oeste,169
2024-10-06,B,Sur,330
2024-11-20,D,Centro,357
2024-04-07,D,Centro,245
2024-07-16,C,Oeste,326
2024-08-27,B,Este,67
2024-05-23,C,Oeste,344
2024-04-06,C,Centro,320
2024-07-19,A,Norte,102
2024-05-03,C,Norte,343
2024-07-05,A,Sur,481
2024-11-21,A,Sur,101
2024-12-14,D,Norte,265
2024-09-15,A,Centro,121
2024-05-27,A,Sur,77
2024-09-08,D,Oeste,449
2024-12-11,C,Oeste,301
2024-05-26,B,Centro,423
2024-05-27,B,Sur,449
2024-12-17,B,Oeste,84
2024-07-17,C,Sur,450
2024-11-03,A,Sur,250
2024-05-07,B,Oeste,298
2024-02-08,C,Norte,148
2024-12-03,A,Oeste,357
2024-12-25,D,Centro,189
2024-05-08,B,Este,132
2024-09-23,A,Oeste,97
2024-05-30,B,Sur,327
2024-10-24,B,Sur,428
2024-04-08,B,Oeste,297
2024-09-19,A,Este,432
2024-09-08,C,Oeste,226
2024-05-23,A,Este,101
2024-12-11,B,Este,128
2024-04-21,A,Centro,434
2024-02-29,D,Sur,371
2024-01-02,C,Sur,113
2024-10-30,A,Este,57
2024-09-10,D,Sur,263
2024-05-19,C,Norte,74
2024-02-06,D,Este,499
2024-06-08,C,Sur,305
2024-01-09,A,Norte,292
2024-08-20,D,Centro,247
2024-04-08,B,Sur,143
2024-05-26,D,Norte,256
2024-10-30,C,Oeste,484
2024-07-26,A,Oeste,486
2024-05-10,C,Norte,64
2024-05-31,D,Este,227
2024-02-23,D,Este,427
2024-04-29,B,Sur,124
2024-06-09,A,Oeste,153
2024-04-25,A,Este,343
2024-03-15,D,Este,217
2024-04-22,A,Oeste,499
2024-04-13,B,Centro,164
2024-12-05,C,Este,88
2024-09-10,A,Norte,413
2024-08-14,D,Sur,322
2024-04-21,C,Este,184
2024-04-08,C,Este,423
2024-06-01,B,Centro,281
2024-12-14,D,Norte,88
2024-12-31,A,Sur,340
2024-12-03,D,Este,356
2024-07-12,C,Sur,96
2024-11-05,D,Oeste,85
2024-06-11,A,Este,369
2024-07-26,A,Este,144
2024-06-17,B,Oeste,410
2024-06-09,A,Centro,62
2024-03-08,A,Este,195
2024-10-15,D,Sur,454
2024-10-03,D,Norte,417
2024-10-30,C,Sur,114
2024-05-14,B,Centro,277
2024-07-13,D,Norte,291
2024-05-07,A,Sur,57
2024-02-02,C,Sur,353
2024-06-24,D,Oeste,390
2024-01-22,B,Centro,92
2024-08-25,B,Oeste,293
2024-06-06,C,Norte,230
2024-02-07,C,Oeste,134
2024-08-17,C,Centro,204
2024-12-30,C,Este,324
2024-02-20,C,Este,72
2024-09-20,A,Norte,164
2024-10-09,A,Este,355
2024-01-27,D,Oeste,484
2024-08-13,B,Norte,348
2024-10-03,A,Centro,148
2024-10-12,A,Norte,153
2024-04-06,A,Norte,421
2024-10-10,D,Sur,100
2024-11-12,C,Sur,411
2024-10-30,D,Norte,161
2024-05-26,B,Este,293
2024-01-04,B,Sur,218
2024-02-04,B,Centro,121
2024-07-10,B,Oeste,188
2024-02-18,A,Sur,385
2024-01-17,A,Norte,280
2024-06-20,D,Este,288
2024-08-07,C,Oeste,302
2024-06-06,B,Sur,485
2024-02-15,D,Este,456
2024-01-06,A,Este,98
2024-04-08,A,Este,471
2024-08-20,C,Norte,352
2024-02-06,C,Centro,121
2024-10-06,C,Este,312
2024-12-14,D,Oeste,371
2024-10-28,A,Sur,271
2024-06-29,A,Oeste,126
2024-04-04,C,Norte,111
2024-04-08,B,Norte,206
2024-07-06,C,Oeste,343
2024-04-25,D,Centro,174
2024-07-09,C,Norte,278
2024-09-09,C,Norte,389
2024-06-09,D,Oeste,210
2024-09-12,C,Norte,78
2024-11-18,A,Centro,163
2024-05-07,B,Centro,128
2024-01-18,C,Centro,72
2024-10-07,D,Sur,155
2024-08-10,B,Centro,180
2024-02-23,D,Centro,406
2024-02-27,B,Sur,222
2024-11-18,B,Este,313
2024-12-25,C,Norte,391
2024-06-22,A,Centro,422
2024-10-06,C,Norte,334
2024-04-23,D,Oeste,51
2024-10-14,D,Norte,282
2024-12-07,B,Sur,418
2024-05-30,B,Norte,300
2024-05-06,A,Norte,483
2024-06-03,C,Norte,370
2024-09-29,D,Este,157
2024-04-13,B,Este,325
2024-10-25,A,Oeste,229
2024-09-02,D,Sur,262
2024-06-24,B,Norte,342
2024-02-08,D,Norte,121
2024-06-18,A,Norte,332
2024-09-03,A,Norte,224
2024-01-26,D,Este,172
2024-12-20,C,Oeste,276
2024-11-01,D,Centro,439
2024-01-13,B,Sur,493
2024-11-11,C,Norte,350
2024-11-08,B,Oeste,477
2024-02-05,D,Centro,132
2024-06-21,C,Oeste,302
2024-01-20,B,Este,195
2024-11-16,D,Centro,169
2024-09-20,D,Oeste,114
2024-05-21,C,Este,330
2024-05-22,D,Oeste,332
2024-04-01,A,Oeste,440
2024-12-19,B,Centro,477
2024-11-17,B,Este,155
2024-10-14,D,Norte,462
2024-08-02,D,Sur,349
2024-12-07,A,Centro,156
2024-02-20,C,Este,85
2024-06-01,D,Oeste,196
2024-07-04,D,Este,311
2024-03-03,D,Sur,458
2024-07-08,D,Sur,208
2024-05-04,B,Norte,314
2024-05-29,D,Norte,251
2024-11-09,B,Sur,470
2024-02-27,D,Centro,204
2024-12-07,C,Centro,62
2024-10-31,A,Oeste,346
2024-06-28,C,Norte,433
2024-06-18,D,Oeste,371
2024-11-21,D,Norte,134
2024-09-27,D,Sur,329
2024-02-23,C,Centro,294
2024-04-10,D,Centro,349
2024-09-20,C,Sur,411
2024-02-22,B,Oeste,403
2024-02-29,A,Oeste,365
2024-04-17,A,Este,58
2024-01-05,C,Norte,435
2024-04-12,B,Oeste,296
2024-07-14,C,Sur,361
2024-09-18,B,Oeste,463
2024-12-30,D,Centro,327
2024-12-15,B,Norte,287
2024-02-16,B,Este,252
2024-12-20,B,Norte,296
2024-11-06,A,Centro,284
2024-11-03,B,Centro,130
2024-05-23,D,Centro,405
2024-09-25,D,Centro,62
2024-05-03,D,Sur,376
2024-04-15,B,Este,65
2024-06-06,C,Centro,94
2024-05-26,C,Centro,370
2024-05-24,D,Oeste,188
2024-04-29,A,Este,375
2024-11-14,C,Norte,197
2024-10-01,B,Este,404
2024-04-01,C,Este,285
2024-02-27,D,Este,240
2024-12-11,A,Centro,150
2024-08-16,C,Centro,154
2024-04-26,C,Sur,299
2024-11-13,D,Norte,445
2024-10-05,A,Oeste,495
2024-05-06,A,Este,143
2024-05-08,D,Norte,269
2024-02-27,B,Norte,347
2024-05-01,C,Sur,388
2024-01-01,B,Oeste,491
2024-08-26,C,Este,182
2024-10-16,C,Oeste,410
2024-04-05,B,Sur,204
2024-05-05,D,Centro,77
2024-04-27,D,Norte,331
2024-02-17,C,Este,165
2024-03-29,D,Centro,354
2024-08-24,C,Sur,283
2024-09-28,D,Oeste,454
2024-07-07,C,Norte,50
2024-07-10,D,Este,397
2024-03-09,A,Centro,289
2024-10-04,B,Centro,107
2024-12-14,A,Norte,384
2024-09-03,B,Oeste,232
2024-03-16,B,Sur,386
2024-06-02,C,Oeste,75
2024-05-23,B,Oeste,458
2024-03-26,A,Oeste,126
2024-07-03,A,Norte,466
2024-10-11,D,Norte,266
2024-08-07,A,Sur,377
2024-03-09,D,Oeste,374
2024-02-16,B,Norte,311
2024-04-03,A,Sur,72
2024-08-25,B,Sur,293
2024-07-22,A,Oeste,207
2024-08-05,A,Este,255
2024-12-06,D,Oeste,359
2024-02-08,B,Este,136
2024-04-09,A,Sur,316
2024-10-15,C,Norte,464
2024-09-10,B,Centro,183
2024-08-09,B,Sur,316
2024-12-22,B,Norte,382
2024-01-23,D,Sur,317
2024-09-06,C,Oeste,499
2024-01-10,B,Este,102
2024-09-02,A,Sur,148
2024-11-20,A,Norte,296
2024-04-09,D,Oeste,85
2024-10-16,A,Centro,450
2024-06-28,B,Oeste,77
2024-08-10,A,Este,269
2024-09-06,B,Oeste,455
2024-05-26,A,Centro,151
2024-04-05,C,Norte,312
2024-09-13,D,Sur,320
2024-11-20,D,Este,273
2024-01-04,C,Centro,188
2024-01-16,C,Este,329
2024-10-06,D,Oeste,335
2024-12-01,C,Este,299
2024-09-03,B,Centro,371
2024-09-14,A,Sur,366
2024-06-08,D,Sur,127
2024-12-05,C,Este,346
2024-05-31,B,Norte,387
2024-06-26,D,Este,356
2024-06-11,C,Oeste,477
2024-02-02,D,Sur,400
2024-06-27,C,Sur,62
2024-04-10,D,Sur,395
2024-09-24,B,Norte,445
2024-11-18,B,Norte,131
2024-03-05,A,Centro,58
2024-06-16,D,Este,262
2024-11-25,A,Este,97
2024-02-12,D,Oeste,98
2024-02-13,C,Sur,358
2024-10-11,C,Norte,489
2024-01-12,A,Oeste,89
2024-04-04,D,Oeste,412
2024-10-28,A,Norte,329
2024-09-09,B,Este,275
2024-08-29,A,Sur,157
2024-02-04,A,Este,294
2024-08-02,C,Oeste,304
2024-12-02,A,Sur,82
2024-03-30,D,Centro,72
2024-09-20,C,Oeste,382
2024-04-02,A,Este,103
2024-03-30,B,Este,358
2024-04-24,A,Este,98
2024-04-14,A,Norte,127
2024-07-14,A,Oeste,385
2024-11-09,C,Sur,482
2024-04-23,D,Este,407
2024-03-15,B,Este,171
2024-08-04,A,Norte,493
2024-10-03,D,Sur,408
2024-09-05,D,Oeste,139
2024-06-12,C,Centro,395
2024-12-22,B,Norte,242
2024-07-10,C,Oeste,465
2024-08-14,D,Centro,426
2024-06-25,D,Este,293
2024-04-08,D,Este,198
2024-02-05,C,Sur,195
2024-04-05,B,Centro,365
2024-05-31,A,Este,427
2024-05-30,C,Este,190
2024-07-08,D,Sur,457
2024-08-11,C,Oeste,335
2024-02-06,D,Este,435
2024-09-24,A,Norte,388
2024-07-01,A,Norte,160
2024-01-13,B,Oeste,157
2024-10-05,D,Centro,416
2024-08-04,B,Sur,330
2024-12-20,B,Norte,99
2024-12-26,A,Norte,63
2024-10-12,C,Oeste,183
2024-09-29,C,Centro,125
2024-03-02,B,Centro,133
2024-03-24,A,Oeste,392
2024-08-04,D,Norte,207
2024-12-07,C,Sur,335
2024-07-05,B,Norte,471
2024-01-19,C,Centro,363
2024-06-25,C,Norte,143
2024-04-09,D,Sur,346
2024-08-20,A,Este,143
2024-03-16,D,Norte,106
2024-09-21,A,Oeste,213
2024-10-10,C,Este,369
2024-07-24,B,Oeste,147
2024-08-10,D,Oeste,65
2024-02-21,A,Oeste,393
2024-12-04,C,Norte,127
2024-05-23,A,Centro,395
2024-03-09,A,Este,121
2024-04-08,A,Sur,319
2024-01-25,C,Centro,336
2024-02-22,B,Norte,115
2024-05-30,B,Oeste,417
2024-05-23,B,Sur,117
2024-02-26,A,Este,242
2024-02-08,C,Centro,104
2024-04-18,A,Centro,428
2024-06-29,B,Sur,217
2024-02-11,B,Norte,458
2024-07-04,C,Este,74
2024-08-10,A,Sur,180
2024-05-01,D,Oeste,374
2024-05-12,D,Este,151
2024-06-11,B,Centro,423
2024-08-02,C,Sur,331
2024-08-08,A,Centro,345
2024-08-22,A,Centro,343
2024-11-26,B,Centro,471
2024-05-25,B,Norte,312
2024-08-26,A,Centro,463
2024-03-16,A,Oeste,169
2024-01-09,B,Oeste,452
2024-03-14,A,Este,280
2024-09-09,D,Centro,340
2024-08-17,B,Centro,210
2024-01-07,A,Sur,210
2024-06-22,B,Norte,127
2024-05-20,C,Este,87
2024-06-16,B,Centro,443
2024-06-18,B,Sur,490
2024-10-09,C,Norte,77
2024-05-01,D,Este,149
2024-07-12,A,Este,343
2024-01-05,C,Centro,449
2024-01-29,B,Este,173
2024-06-13,A,Sur,454
2024-12-04,C,Este,141
2024-05-15,A,Oeste,304
2024-12-30,A,Sur,146
2024-11-16,C,Norte,55
2024-12-07,A,Norte,218
2024-05-24,D,Centro,432
2024-11-22,C,Centro,320
2024-08-04,D,Oeste,157
2024-10-27,B,Norte,436
2024-05-11,A,Norte,348
2024-10-18,B,Norte,96
2024-03-10,B,Norte,148
2024-09-08,A,Este,63
2024-10-01,C,Sur,243
2024-12-29,A,Sur,206
2024-06-30,B,Oeste,437
2024-06-15,B,Este,203
2024-03-31,C,Norte,164
2024-07-20,A,Norte,445
2024-12-11,B,Centro,307
2024-01-19,D,Centro,194
2024-02-08,B,Oeste,340
2024-05-05,B,Norte,59
2024-06-21,C,Oeste,417
2024-05-20,D,Este,263
2024-08-29,B,Sur,282
2024-08-07,B,Norte,220
2024-05-05,D,Este,70
2024-02-27,A,Norte,64
2024-05-27,A,Centro,468
2024-11-12,B,Oeste,417
2024-12-26,B,Centro,175
2024-01-01,A,Sur,390
2024-12-13,C,Centro,390
2024-07-08,D,Norte,262
2024-07-09,D,Centro,237
2024-11-07,C,Norte,221
2024-04-26,C,Sur,296
2024-05-13,C,Centro,54
2024-02-27,C,Oeste,280
2024-02-13,C,Oeste,250
2024-06-21,C,Oeste,422
2024-06-08,D,Centro,451
2024-06-21,C,Centro,198
2024-11-12,A,Centro,121
2024-10-29,C,Norte,275
2024-05-28,C,Sur,123
2024-03-20,D,Oeste,356
2024-07-31,D,Norte,218
2024-07-21,C,Oeste,298
2024-09-08,D,Norte,329
2024-08-16,B,Centro,201
2024-06-12,D,Oeste,273
2024-08-14,D,Centro,274
2024-05-26,D,Oeste,87
2024-01-20,D,Este,93
2024-02-16,A,Norte,234
2024-08-20,A,Este,492
2024-10-31,A,Norte,290
2024-01-14,C,Sur,467
2024-05-22,C,Oeste,380
2024-01-01,B,Sur,400
2024-02-23,A,Sur,259
2024-09-15,C,Norte,72
2024-05-23,D,Este,173
2024-01-12,D,Centro,135
2024-11-25,A,Norte,92
2024-08-11,B,Centro,89
2024-09-28,B,Sur,352
2024-12-23,D,Centro,218
2024-06-04,B,Este,224
2024-01-08,A,Norte,69
2024-05-01,D,Este,158
2024-12-13,C,Este,242
2024-06-12,C,Norte,293
2024-03-30,B,Este,373
2024-05-15,D,Oeste,329
2024-07-04,D,Oeste,277
2024-11-11,C,Oeste,85
2024-06-26,D,Centro,94
2024-01-28,D,Este,435
2024-08-07,D,Norte,77
2024-12-22,B,Norte,203
2024-02-10,D,Centro,72
2024-08-15,A,Norte,256
2024-07-10,B,Oeste,469
2024-05-24,D,Este,140
2024-07-19,D,Norte,439
2024-07-30,A,Norte,468
2024-08-07,B,Sur,408
2024-08-27,C,Sur,87
2024-02-15,C,Sur,468
2024-02-04,B,Este,277
2024-09-09,D,Oeste,251
2024-03-22,D,Oeste,399
2024-09-12,C,Oeste,358
2024-07-15,C,Este,303
2024-10-29,C,Este,87
2024-01-10,A,Sur,270
2024-11-07,C,Norte,236
2024-10-12,A,Centro,92
2024-08-29,B,Centro,408
2024-09-07,D,Norte,163
2024-12-30,C,Sur,309
2024-01-05,D,Norte,54
2024-04-28,D,Norte,117
2024-10-15,C,Centro,277
2024-03-05,C,Sur,172
2024-05-25,B,Este,222
2024-08-11,A,Centro,385
2024-08-26,A,Este,202
2024-06-25,D,Sur,316
2024-09-23,C,Norte,206
2024-12-06,B,Oeste,211
2024-10-08,B,Oeste,263
2024-03-03,B,Sur,447
2024-08-04,B,Oeste,425
2024-12-07,B,Este,457
2024-11-10,A,Oeste,492
2024-10-09,A,Sur,472
2024-06-25,A,Sur,75
2024-04-07,C,Este,476
2024-04-14,D,Oeste,341
2024-04-08,B,Oeste,472
2024-11-06,C,Norte,238
2024-01-06,B,Centro,449
2024-07-15,A,Sur,171
2024-12-16,C,Norte,279
2024-05-12,A,Sur,108
2024-12-23,B,Norte,145
2024-09-15,B,Centro,311
2024-01-23,D,Norte,403
2024-02-22,B,Sur,361
2024-06-13,A,Oeste,185
2024-07-20,B,Sur,399
2024-03-23,D,Este,332
2024-05-24,D,Este,460
2024-03-25,A,Este,169
2024-03-18,C,Este,479
2024-12-31,B,Centro,474
2024-01-01,D,Oeste,74
2024-02-20,B,Oeste,391
2024-06-21,B,Sur,195
2024-07-23,C,Norte,61
2024-09-16,D,Sur,136
2024-10-14,B,Sur,484
2024-02-03,D,Sur,158
2024-12-13,A,Sur,472
2024-04-04,A,Oeste,394
2024-03-12,B,Norte,315
2024-02-08,D,Sur,271
2024-06-02,B,Oeste,123
2024-09-06,D,Sur,382
2024-06-10,D,Este,359
2024-04-27,C,Sur,462
2024-09-15,C,Sur,151
2024-11-01,C,Centro,474
2024-09-24,B,Este,186
2024-02-23,C,Norte,240
2024-08-23,C,Sur,470
2024-08-09,A,Norte,191
2024-09-07,D,Este,406
2024-11-08,D,Sur,122
2024-04-21,C,Centro,377
2024-09-11,D,Oeste,216
2024-10-29,A,Centro,217
2024-07-25,A,Centro,103
2024-08-16,C,Oeste,308
2024-12-06,A,Oeste,488
2024-03-06,D,Oeste,160
2024-03-15,B,Sur,281
2024-04-12,D,Norte,210
2024-07-10,B,Norte,401
2024-09-08,C,Oeste,376
2024-08-13,B,Centro,68
2024-10-20,A,Este,339
2024-11-01,D,Oeste,99
2024-04-07,B,Centro,224
2024-12-03,D,Centro,351
2024-10-12,C,Sur,233
2024-11-30,C,Sur,234
2024-12-12,A,Norte,388
2024-11-03,C,Norte,356
2024-09-05,B,Este,359
2024-06-14,C,Este,395
2024-11-30,A,Este,130
2024-01-30,D,Este,423
2024-09-03,D,Centro,205
2024-04-15,C,Centro,324
2024-02-20,B,Norte,332
2024-03-21,A,Sur,481
2024-05-12,B,Sur,298
2024-10-11,A,Oeste,196
2024-05-17,C,Centro,484
2024-07-02,A,Este,56
2024-11-25,A,Este,206
2024-09-29,C,Oeste,220
2024-12-05,B,Sur,118
2024-03-09,C,Este,143
2024-02-03,A,Sur,418
2024-09-18,C,Oeste,412
2024-02-22,A,Sur,425
2024-07-23,C,Sur,235
2024-05-05,D,Sur,441
2024-08-22,D,Este,219
2024-02-12,C,Norte,253
2024-08-27,B,Centro,91
2024-04-20,A,Sur,62
2024-09-05,D,Sur,203
2024-05-30,B,Sur,323
2024-07-01,A,Norte,347
2024-12-01,D,Oeste,100
2024-04-04,D,Este,418
2024-01-08,C,Norte,261
2024-12-25,A,Sur,193
2024-07-02,B,Norte,406
2024-10-07,B,Norte,52
2024-07-13,B,Norte,303
2024-12-17,A,Oeste,384
2024-07-13,B,Centro,305
2024-06-03,B,Este,147
2024-04-02,B,Oeste,222
2024-06-08,C,Oeste,199
2024-03-01,C,Centro,328
2024-05-01,A,Oeste,108
2024-02-20,A,Norte,495
2024-10-03,B,Norte,162
2024-01-05,C,Sur,373
2024-04-01,D,Oeste,292
2024-06-18,D,Sur,359
2024-11-12,B,Este,106
2024-01-22,B,Norte,456
2024-11-21,C,Este,416
2024-01-01,C,Centro,109
2024-05-12,C,Norte,378
2024-08-20,A,Este,265
2024-01-12,A,Centro,282
2024-12-11,B,Este,104
2024-02-15,A,Centro,422
2024-02-03,C,Centro,257
2024-03-18,C,Norte,112
2024-08-05,A,Sur,233
2024-10-27,D,Centro,360
2024-03-13,B,Centro,330
2024-10-08,D,Norte,75
2024-09-05,B,Sur,226
2024-02-16,D,Oeste,112
2024-04-30,A,Oeste,478
2024-08-01,B,Sur,122
2024-08-26,B,Este,384
2024-02-25,B,Norte,216
2024-12-15,C,Sur,274
2024-04-16,C,Oeste,114
2024-11-14,D,Centro,118
2024-02-17,A,Oeste,489
2024-03-01,C,Centro,58
2024-12-02,B,Norte,285
2024-01-26,C,Centro,247
2024-10-18,A,Sur,461
2024-09-13,C,Centro,222
2024-01-08,B,Este,331
2024-04-22,D,Sur,77
2024-12-20,B,Norte,345
2024-09-09,A,Sur,448
2024-06-28,D,Este,183
2024-07-25,C,Norte,76
2024-10-29,C,Oeste,87
2024-05-06,C,Este,245
2024-02-25,D,Norte,252
2024-08-01,B,Centro,134
2024-01-14,D,Sur,369
2024-01-28,D,Norte,79
2024-03-18,A,Sur,148
2024-08-03,D,Centro,436
2024-12-30,C,Norte,239
2024-06-02,B,Oeste,61
2024-01-14,B,Este,140
2024-07-05,B,Norte,79
2024-11-07,C,Centro,262
2024-01-07,C,Norte,87
2024-01-03,C,Sur,390
2024-04-20,C,Norte,109
2024-08-25,C,Oeste,343
2024-12-28,D,Norte,409
2024-08-26,C,Este,192
2024-09-30,C,Norte,451
2024-10-20,C,Sur,229
2024-08-14,C,Norte,334
2024-01-15,B,Oeste,161
2024-07-10,C,Centro,279
2024-04-28,D,Norte,493
2024-01-28,D,Norte,70
2024-07-20,D,Este,194
2024-02-08,A,Oeste,195
2024-09-29,B,Centro,490
2024-08-18,C,Sur,424
2024-03-26,A,Norte,470
2024-05-05,C,Centro,365
2024-10-26,A,Sur,215
2024-01-25,A,Oeste,189
2024-05-24,D,Oeste,252
2024-01-13,D,Centro,293
2024-07-30,A,Sur,162
2024-01-25,D,Oeste,250
2024-03-08,A,Centro,434
2024-03-07,B,Oeste,363
2024-08-20,D,Oeste,308
2024-04-18,D,Oeste,304
2024-05-25,D,Este,496
2024-04-20,B,Sur,454
2024-08-15,A,Centro,72
2024-04-20,C,Centro,442
2024-02-03,D,Sur,295
